,MULTISI,MVJER,MULTIRE,MULTIAR,MULTINS,MULTIUS,MULTIPC,MULTIBA,MULTIFA,MULTIED,MULTIEQ
url,https://www.multiva.com.mx/documents/140749/161654980/MULTISI_P.pdf/1b5eb87f-fb0a-b115-40b3-61217d774e5e?t=1631555132951,https://www.multiva.com.mx/documents/140749/161657358/MVJERPROSPECTO.pdf/dcbadf46-9250-5f60-1849-35e8351b4f99?t=1631570749135,https://www.multiva.com.mx/documents/140749/161655851/MULTIRE_P.pdf/b22f19db-a403-fc4f-ee94-c2e1ca6d35b5?t=1631555219213,https://www.multiva.com.mx/documents/140749/161654291/MULTIAR_P.pdf/942ad895-4c35-753b-80b5-2997306ab549?t=1631555087379,https://www.multiva.com.mx/documents/140749/161658372/MULTINS_P.pdf/35cc36bd-a7a1-71fb-a263-647bcd952ab7?t=1631555302027,https://www.multiva.com.mx/documents/140749/161658999/MULTIUS_P.pdf/bab9d3f6-0b31-0369-2e89-beffeda663e7?t=1631555348427,https://www.multiva.com.mx/documents/140749/161661401/MULTIPC_P.pdf/da14f927-66d9-1be9-d601-9c0919c2aaca?t=1631555442486,N/A,https://www.multiva.com.mx/documents/140749/161649527/MULTIFA_P.pdf/f561a161-4dbd-3851-a418-49ee8b6815c3?t=1631555684608,https://www.multiva.com.mx/documents/140749/161660682/MULTIED_P.pdf/b296a502-670a-bba7-525b-0fe77625a526?t=1631555397746,https://www.multiva.com.mx/documents/140749/161662233/MULTIEQ_P.pdf/9d1b0aee-2891-fdd4-64ca-cb1a0b658c20?t=1631555495524
plazo,corto plazo,corto plazo,corto plazo,largo plazo,mediano plazo,corto plazo,mediano plazo,N/A,largo plazo,corto plazo,largo plazo
director,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,N/A,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez,Fanny Lorena Rodríguez Gutiérrez
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
